study	FEV1	FVC	FF	PEF
ALHS	mL	mL	percent	L/sec
ALSPAC	L	L	ratio	L/sec
ARIC_AA	L	L	percent	L/sec
ARIC_EA	L	L	percent	L/sec
B58C	L	L	ratio	L/min
BHS	L	L	ratio	L/sec
CHSAA	L	L	ratio	L/sec
CHSEA	L	L	ratio	L/sec
CKB	L	L	ratio	L/sec
EPIC	L	L	ratio	L/sec
EXCEED	L	L	ratio	L/sec
FHS	mL	mL	percent	L/sec
FinnTwin	L	L	ratio	L/sec
GS20K	L	L	ratio	L/sec
H2000	L	L	ratio	L/sec
HCHS	mL	mL	percent	mL/sec
hunt	L	L	ratio	L/sec
KORA_F4	L	L	ratio	L/sec
KORA_S3	L	L	percent	L/sec
Korcula	L	L	ratio	L/min
LBC1936	L	L	percent	L/min
MESA_AFA_new	mL	mL	ratio	mL/sec
MESA_CAU_new	mL	mL	ratio	mL/sec
MESA_HIS_new	mL	mL	ratio	mL/sec
NEO	L	L	percent	L/sec
NFBC66	L	L	ratio	L/sec
NFBC86	L	L	ratio	L/sec
orcades	L	L	ratio	L/min
PIVUS	L	L	ratio	L/sec
QBB	L	L	ratio	L/sec
Raine	L	L	ratio	L/sec
RS1	L	L	percent	L/sec
RS2	L	L	percent	L/sec
RS3	L	L	percent	L/sec
SAPALDIA_Edinburgh	L	L	ratio	L/sec
SAPALDIA_Gabriel	L	L	ratio	L/sec
SHIP-1	mL	mL	percent	mL/sec
SHIP-TREND	mL	mL	percent	mL/sec
Split	L	L	ratio	L/min
Twins_UK	L	L	ratio	L/sec
UKB_AFR	L	L	ratio	L/min
UKB_AMR	L	L	ratio	L/min
UKB_EAS	L	L	ratio	L/min
UKB_EUR	L	L	ratio	L/min
UKB_SAS	L	L	ratio	L/min
UKHLS	L	L	ratio	L/sec
VIKING	L	L	ratio	L/min
Vis	L	L	ratio	L/sec
YFS	L	L	ratio	L/sec
