study	transformed	untransformed	method
ALHS	alhs_cases_fev1_nosmk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_cases_fev1_nosmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_cases_fev1_smk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_cases_fev1_yessmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_cases_ff_nosmk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_cases_ratio_nosmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_cases_ff_smk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_cases_ratio_yessmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_cases_fvc_nosmk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_cases_fvc_nosmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_cases_fvc_smk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_cases_fvc_yessmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_controls_fev1_nosmk_chr1_22_awjj_2019_10_17.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_controls_fev1_nosmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_controls_fev1_smk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_controls_fev1_yessmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_controls_ff_nosmk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_controls_ratio_nosmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_controls_ff_smk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_controls_ratio_yessmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_controls_fvc_nosmk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_controls_fvc_nosmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALHS	alhs_controls_fvc_smk_chr1_22_awjj_2019_10_18.chr_pos_All_rsq_snpid_final.txt.gz	alhs_untransform_controls_fvc_yessmk_chr1_22_awjj_2020_11_25.chr_pos_All_rsq_snpid_final.txt.gz	check
ALSPAC	ALSPAC_zfev1_all_chr1_rg_18072019.gz	ALSPAC_fev1f8res_all_chr1_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr10_rg_18072019.gz	ALSPAC_fev1f8res_all_chr10_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr11_rg_18072019.gz	ALSPAC_fev1f8res_all_chr11_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr12_rg_18072019.gz	ALSPAC_fev1f8res_all_chr12_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr13_rg_18072019.gz	ALSPAC_fev1f8res_all_chr13_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr14_rg_18072019.gz	ALSPAC_fev1f8res_all_chr14_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr15_rg_18072019.gz	ALSPAC_fev1f8res_all_chr15_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr16_rg_18072019.gz	ALSPAC_fev1f8res_all_chr16_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr17_rg_18072019.gz	ALSPAC_fev1f8res_all_chr17_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr18_rg_18072019.gz	ALSPAC_fev1f8res_all_chr18_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr19_rg_18072019.gz	ALSPAC_fev1f8res_all_chr19_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr2_rg_18072019.gz	ALSPAC_fev1f8res_all_chr2_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr20_rg_18072019.gz	ALSPAC_fev1f8res_all_chr20_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr21_rg_18072019.gz	ALSPAC_fev1f8res_all_chr21_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr22_rg_18072019.gz	ALSPAC_fev1f8res_all_chr22_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr3_rg_18072019.gz	ALSPAC_fev1f8res_all_chr3_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr4_rg_18072019.gz	ALSPAC_fev1f8res_all_chr4_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr5_rg_18072019.gz	ALSPAC_fev1f8res_all_chr5_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr6_rg_18072019.gz	ALSPAC_fev1f8res_all_chr6_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr7_rg_18072019.gz	ALSPAC_fev1f8res_all_chr7_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr8_rg_18072019.gz	ALSPAC_fev1f8res_all_chr8_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_all_chr9_rg_18072019.gz	ALSPAC_fev1f8res_all_chr9_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_females_chrX_rg_02082019.gz	ALSPAC_fev1f8res_females_chrX_rg_14102020.gz	check
ALSPAC	ALSPAC_zfev1_males_chrX_rg_02082019.gz	ALSPAC_fev1f8res_males_chrX_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr1_rg_18072019.gz	ALSPAC_fvcf8res_all_chr1_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr10_rg_18072019.gz	ALSPAC_fvcf8res_all_chr10_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr11_rg_18072019.gz	ALSPAC_fvcf8res_all_chr11_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr12_rg_18072019.gz	ALSPAC_fvcf8res_all_chr12_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr13_rg_18072019.gz	ALSPAC_fvcf8res_all_chr13_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr14_rg_18072019.gz	ALSPAC_fvcf8res_all_chr14_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr15_rg_18072019.gz	ALSPAC_fvcf8res_all_chr15_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr16_rg_18072019.gz	ALSPAC_fvcf8res_all_chr16_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr17_rg_18072019.gz	ALSPAC_fvcf8res_all_chr17_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr18_rg_18072019.gz	ALSPAC_fvcf8res_all_chr18_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr19_rg_18072019.gz	ALSPAC_fvcf8res_all_chr19_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr2_rg_18072019.gz	ALSPAC_fvcf8res_all_chr2_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr20_rg_18072019.gz	ALSPAC_fvcf8res_all_chr20_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr21_rg_18072019.gz	ALSPAC_fvcf8res_all_chr21_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr22_rg_18072019.gz	ALSPAC_fvcf8res_all_chr22_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr3_rg_18072019.gz	ALSPAC_fvcf8res_all_chr3_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr4_rg_18072019.gz	ALSPAC_fvcf8res_all_chr4_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr5_rg_18072019.gz	ALSPAC_fvcf8res_all_chr5_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr6_rg_18072019.gz	ALSPAC_fvcf8res_all_chr6_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr7_rg_18072019.gz	ALSPAC_fvcf8res_all_chr7_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr8_rg_18072019.gz	ALSPAC_fvcf8res_all_chr8_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_all_chr9_rg_18072019.gz	ALSPAC_fvcf8res_all_chr9_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_females_chrX_rg_02082019.gz	ALSPAC_fvcf8res_females_chrX_rg_14102020.gz	check
ALSPAC	ALSPAC_zfvc_males_chrX_rg_02082019.gz	ALSPAC_fvcf8res_males_chrX_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr1_rg_18072019.gz	ALSPAC_peff8res_all_chr1_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr10_rg_18072019.gz	ALSPAC_peff8res_all_chr10_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr11_rg_18072019.gz	ALSPAC_peff8res_all_chr11_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr12_rg_18072019.gz	ALSPAC_peff8res_all_chr12_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr13_rg_18072019.gz	ALSPAC_peff8res_all_chr13_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr14_rg_18072019.gz	ALSPAC_peff8res_all_chr14_rg_14102020.gz	check
